brand,model,os_version,network_type,user_isp_id,user_region_id,user_city_id,bandwidth_Mbps,user_uid,wifi_rssi,wifi_linkSpeed,wifi_hiddenSSID,wifi_frequency,wifi_rxLinkSpeedMbps,wifi_txLinkSpeedMbps,wifi_maxSupportedRxLinkSpeedMbps,wifi_maxSupportedTxLinkSpeedMbps,wifi_wifiStandard
realme,RMX3161,11,WIFI,China Telecom,jiangsusheng,wuxishi,0.7,44200ee537bd030928a16df88efa8982,-55;-55;-55;-55;-55;-55;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54;-54,72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72,FALSE,2462,72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72,72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72,150,150,4
vivo,V1936AL,11,WIFI,China Unicom,heilongjiangsheng,hegangshi,67.8,ab9952c4ba1a3fc4d81c9e197e03bdb8,-68;-68;-67;-67;-67;-67;-67;-67;-68;-68;-68;-68;-68;-68;-68;-68;-68;-68;-68;-68;-68;-68,96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96,FALSE,2437,86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86,72;72;86;86;86;86;86;86;58;58;58;58;58;58;72;72;72;72;72;72;58;58,150,150,4
vivo,V2055A,11,WIFI,China Unicom,guangdongsheng,shenzhenshi,17.4,dccc07d9f0b606eadecdff7a31b58882,-29;-29;-29;-29;-29;-29;-29;-29;-29;-30;-30;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28;-28,72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72,FALSE,2462,58;58;58;65;65;72;72;72;72;65;65;65;65;72;72;65;65;72;72;72;72;72,58;58;58;58;58;52;52;52;52;58;58;39;39;58;58;58;58;58;58;58;58;58,150,150,4
vivo,V1955A,11,WIFI,China Telecom,hebeisheng,baodingshi,18,6c8429850f0a11a231b162e4195fe675,-33;-33;-33;-33;-32;-32;-33;-33;-32;-32;-34;-34;-35;-35;-35;-35;-36;-36;-36,72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72,FALSE,2437,72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72,72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72,72,72,4
vivo,V1955A,11,WIFI,China Telecom,hebeisheng,baodingshi,19.8,6c8429850f0a11a231b162e4195fe675,-35;-35;-35;-36;-36;-36;-36;-36;-36;-35;-35;-36;-36;-36;-36;-37;-37;-38;-38;-37;-37;-37,72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72,FALSE,2437,72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72,72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72,72,72,4
realme,RMX2051,11,WIFI,China Telecom,guangdongsheng,guangzhoushi,86.2,f55de2e930e8fe7bca950f81ebd5ddf4,-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-36;-37;-37;-37;-37;-37;-37;-37;-37,144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144,FALSE,2472,144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144,144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144,144,144,4
vivo,V2049A,11,WIFI,China Telecom,jiangsusheng,suzhoushi,183.9,75119ff641a0f42635c9851ddf252049,-3;-3;-3;-3;-3;-3;-3;-2;-3;-3;-3;-3;-3;-3;-4;-4;-4;-4;-4;-4;-4;-4,72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72,FALSE,2422,52;52;52;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72,72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72,72,72,4
vivo,V2046A,11,WIFI,China Mobile,jiangsusheng,xuzhoushi,67,7534607e3b6c749162018bb8dee1b1d7,-68;-68;-68;-68;-68;-68;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-67;-69;-69;-69;-69,117;117;117;117;117;117;144;144;144;144;144;144;117;117;117;117;117;117;144;144;144;144,FALSE,2417,144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144,117;117;117;117;117;117;144;144;144;144;144;144;117;117;117;117;117;117;144;144;144;144,144,144,4
OPPO,PCNM00,11,WIFI,China Unicom,shanxisheng,zhangzhishi,50.9,649cf9bc287c0ce09d90756a7507eb03,-38;-38;-38;-38;-38;-38;-39;-39;-39;-39;-39;-39;-40;-40;-40;-40;-40;-40;-41;-41;-41;-41;-41,144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144,FALSE,2457,144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144,144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144,144,144,4
vivo,V2055A,11,WIFI,China Unicom,guangdongsheng,shenzhenshi,11.3,dccc07d9f0b606eadecdff7a31b58882,-15;-15;-15;-16;-16;-16;-16;-17;-17;-17;-17;-16;-16;-16;-16;-17;-17;-16;-16;-16;-16;-16,72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72,FALSE,2462,58;58;58;58;58;72;72;72;72;72;72;72;72;72;72;65;65;72;72;72;72;65,52;52;52;52;52;58;58;26;26;58;58;52;52;52;52;52;52;39;39;52;52;39,150,150,4
vivo,V1986A,11,WIFI,China Telecom,liaoningsheng,dalianshi,103.9,0ef8315f5d198cc5cb4a578384a028ad,-37;-37;-37;-37;-36;-36;-36;-36;-36;-36;-35;-35;-35;-35;-35;-35;-36;-36;-36;-36;-36;-36,144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144,FALSE,2457,144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144,130;130;130;130;104;104;104;104;104;104;144;144;144;144;144;144;144;144;144;144;144;144,144,144,4
vivo,V2118A,11,WIFI,China Telecom,zhejiangsheng,wenzhoushi,3.7,875d7c57cdc7ec4fad49eb5cfbc46909,-57;-57;-56;-56;-55;-55;-56;-56;-55;-55;-55;-55;-56;-56;-58;-58;-56;-56;-56;-56;-55;-55,72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72,FALSE,2437,39;39;39;39;39;39;52;52;39;39;39;39;39;39;39;39;52;52;39;39;39;39,58;58;19;19;19;19;26;26;26;26;26;26;52;52;19;19;26;26;39;39;39;39,72,72,4
vivo,V2049A,11,WIFI,China Telecom,jiangsusheng,suzhoushi,17.9,75119ff641a0f42635c9851ddf252049,-1;-1;-1;-1;-2;-2;-3;-3;-2;-2;-3;-3;-3;-3;-2;-2;-3;-3;-3;-3;-3;-3,72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72,FALSE,2422,72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72,72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72,72,72,4
vivo,V2055A,11,WIFI,China Unicom,guangdongsheng,shenzhenshi,22,dccc07d9f0b606eadecdff7a31b58882,-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-16;-16;-16;-16;-15;-15;-16,72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72,FALSE,2462,65;65;65;72;72;72;72;72;72;26;26;72;72;72;72;72;72;28;28;72;72;72,52;52;52;39;39;39;39;52;52;52;52;52;52;58;58;52;52;39;39;52;52;39,150,150,4
vivo,V2118A,11,WIFI,China Telecom,zhejiangsheng,wenzhoushi,3.2,875d7c57cdc7ec4fad49eb5cfbc46909,-52;-52;-52;-52;-53;-53;-54;-54;-54;-53;-53;-52;-52;-53;-53;-52,72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72,FALSE,2437,52;52;39;39;39;39;39;39;39;39;39;39;39;39;39;39,39;39;52;52;58;58;52;52;52;39;39;52;52;52;52;52,72,72,4
