brand,model,os_version,network_type,user_isp_id,user_region_id,user_city_id,bandwidth_Mbps,user_uid,cell_asuLevel,cell_dbm,cell_level,cell_mcc,cell_mnc,cell_mobileNetworkOperator,cell_rssi,cell_timingAdvance,cell_bands,cell_bandwidth,cell_ci,cell_earfcn,cell_tac,cell_rsrp,cell_rsrq,cell_rssnr
vivo,V2121A,11,4G,China Mobile,shanghaishi,shanghaishi,130.8,a64e41e5c5023f43585cc92589d062fa,78,-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-64;-64;-64;-64;-61;-61;-61;-61,4,460,0,46000,-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-71;-71;-71;-71,0,[],2147483647,142574113,38950,6322,-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-64;-64;-64;-64;-61;-61;-61;-61,-6;-6;-6;-6;-6;-6;-8;-8;-8;-8;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9,2
vivo,V1938CT,10,4G,China Telecom,hunansheng,zhangjiajieshi,14,e603a601413903dc4496f9e7bcf4b438,32,-108;-108,1,460,0,46000,-57;-57,50,['Added in API level 30'],10000,72771224,38544,29534,-108;-108,-7;-7,18
vivo,V2072A,11,4G,China Unicom,shandongsheng,hezeshi,47.7,80cf1857a1cac9d223c3054a983c9a73,43,-97;-97;-97;-97;-96;-96;-96;-96;-96;-96;-96;-96;-97;-97;-97;-97;-96;-96;-96;-96;-96;-96,2,460,1,46001,-89;-89;-89;-89;-89;-89;-89;-89;-89;-89;-89;-89;-89;-89;-89;-89;-89;-89;-89;-89;-89;-89,6,[],2147483647,231151893,3750,21240,-97;-97;-97;-97;-96;-96;-96;-96;-96;-96;-96;-96;-97;-97;-97;-97;-96;-96;-96;-96;-96;-96,-9;-9;-9;-9;-12;-12;-12;-12;-12;-12;-12;-12;-13;-13;-13;-13;-13;-13;-13;-13;-12;-12,1
vivo,V1962A,10,4G,China Telecom,hebeisheng,cangzhoushi,5.3,da2182317e59fb2140fe5ab00cd63fbb,39,-101;-101,2,460,11,46011,2147483647;2147483647,32,['Added in API level 30'],10000,146373278,2452,58246,-101;-101,-9;-9,0
vivo,V2046A,11,4G,China Telecom,guangdongsheng,zhongshanshi,2.5,57f7d2e0fc9643dab20cbd97ae6b9159,62,-78;-78;-78;-78;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76,4,460,11,46011,2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647,0,[],20000,116116225,1650,9757,-78;-78;-78;-78;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76;-76,-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10,3
vivo,V2121A,11,4G,China Telecom,guangdongsheng,yunfushi,0.2,779831f2caabf526ed8357567156063f,29,-111;-111,1,460,11,46011,-97;-97,20,[],2147483647,140285712,2452,34196,-111;-111,-13;-13,0
vivo,V2072A,11,4G,China Unicom,shandongsheng,weihaishi,71.7,9d928e5be2eca92904007092a6a9715f,50,-90;-89;-89;-89,3,460,1,46001,-87;-85;-85;-85,2,[],2147483647,230777405,300,21485,-90;-89;-89;-89,-8;-10;-10;-10,1
OPPO,PFDM00,11,4G,China Unicom,guizhousheng,liupanshuishi,2.7,51e15eac261a3931ca17587f99f8246a,72,-68;-68,4,460,1,46001,-75;-75,2,[],2147483647,106665202,3741,43333,-68;-68,-6;-6,2
vivo,V2047A,11,4G,China Unicom,guizhousheng,bijieshi,0.2,fa9d1636fe45a1722bde9e2eedad8e3a,41,-99;-99,2,460,1,46001,2147483647;2147483647,17,[],10000,98320273,2452,43462,-99;-99,-9;-9,1
vivo,V2046A,11,4G,China Unicom,hunansheng,yiyangshi,67.1,3ceabe659dac2824578e06098c3f40f0,34,-106;-106;-106;-106;-106;-106;-106;-106;-106;-106;-106;-106;-106;-105;-105;-105;-105;-105;-105;-105;-105;-105,1,460,1,46001,2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647,11,[],20000,188886795,1650,33679,-106;-106;-106;-106;-106;-106;-106;-106;-106;-106;-106;-106;-106;-105;-105;-105;-105;-105;-105;-105;-105;-105,-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-10;-9;-9;-9;-9;-10;-10;-10;-10;-10,1
