brand,model,os_version,network_type,user_isp_id,user_region_id,user_city_id,bandwidth_Mbps,user_uid,cell_asuLevel,cell_dbm,cell_level,cell_mcc,cell_mnc,cell_bands,cell_tac,cell_nrarfcn,cell_csiRsrp,cell_csiRsrq,cell_csiSinr,cell_ssRsrp,cell_ssRsrq,cell_ssSinr
realme,RMX3357,11,5G,China Telecom,weizhi,weizhi,390.1,d6bc28a2ce267fcb5c99b05a47e0345b,96,-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44,4,460,1,[],11793424,627264,-44,-3,2147483647,-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44,-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3,40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40
OPPO,PDSM00,11,5G,China Mobile,shandongsheng,jinanshi,44.9,013ea53d80763dc4fb8cefcc5aefc3cf,96,-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44,4,460,0,[],6816334,504990,-44,-3,2147483647,-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44,-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3,40;40;40;40;40;40;40;40;40;40;40;40;40;40
OPPO,PDCM00,11,5G,China Telecom,hebeisheng,hengshuishi,293,1c7bf27bf55393042b20dfc164eee47a,96,-44;-44;-44;-44,4,460,1,[],2359297,633984,-44,-3,2147483647,-44;-44;-44;-44,-3;-3;-3;-3,40;40;40;40
vivo,V2048A,11,5G,China Telecom,guangdongsheng,shenzhenshi,572.1,bc0fa16c684a24f412d34b2bb42910fd,96,-44;-44,4,460,11,[],7739150,627264,-44,-3,2147483647,-44;-44,-3;-3,40;40
vivo,V2048A,11,5G,China Mobile,henansheng,zhengzhoushi,337.1,0232892e9bdd7a27158aba8716a789eb,96,-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44,4,460,0,[],4213121,504990,-44,-3,2147483647,-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44,-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3,40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40
OPPO,PDCM00,11,5G,China Telecom,hebeisheng,hengshuishi,225.1,1c7bf27bf55393042b20dfc164eee47a,96,-44;-44,4,460,1,[],2359296,633984,-44,-3,2147483647,-44;-44,-3;-3,40;40
OPPO,PDSM00,11,5G,China Mobile,guangdongsheng,guangzhoushi,563.7,92414fa61251ba7c65f1934f63ab28f0,96,-44;-44,4,460,0,[],1314950,504990,-44,-3,2147483647,-44;-44,-3;-3,40;40
OPPO,PEQM00,11,5G,China Unicom,guangdongsheng,meizhoushi,339.9,be3306b7a62ca716672d84ffb6d4d67a,96,-44;-44,4,460,11,[],7864320,627264,-44,-3,2147483647,-44;-44,-3;-3,40;40
vivo,V2072A,11,5G,China Mobile,anhuisheng,luanshi,23.5,f4ec9698164f3c3c8ed78d103b3e4947,96,-44;-44;-44;-44;-44;-44;-44;-44;-44;-44,4,460,0,[],465624,504990,-44,-3,2147483647,-44;-44;-44;-44;-44;-44;-44;-44;-44;-44,-3;-3;-3;-3;-3;-3;-3;-3;-3;-3,40;40;40;40;40;40;40;40;40;40
Xiaomi,21091116C,11,5G,China Unicom,jiangsusheng,xuzhoushi,322.9,4c9aff2c596cb92e20ea943efa1ed97e,96,-44;-44,4,460,1,[],13574656,627264,-44,-3,2147483647,-44;-44,-3;-3,40;40
Xiaomi,M2012K10C,11,5G,China Mobile,shanghaishi,shanghaishi,342.9,ffbdd8a02f24b8abf2394aa2871a6a5f,96,-44;-44;-44,4,460,0,[],1448141,504990,-44,-3,2147483647,-44;-44;-44,-3;-3;-3,40;40;40
OPPO,PFDM00,11,5G,China Mobile,guizhousheng,guiyangshi,538.4,0bc86328fb87f233fe5d0551f234ed9f,96,-44;-44,4,460,0,[],6291759,504990,-44,-3,2147483647,-44;-44,-3;-3,40;40
OPPO,PDCM00,11,5G,China Telecom,hebeisheng,hengshuishi,277.1,1c7bf27bf55393042b20dfc164eee47a,96,-44;-44;-44;-44;-44,4,460,1,[],2359297,633984,-44,-3,2147483647,-44;-44;-44;-44;-44,-3;-3;-3;-3;-3,40;40;40;40;40
OPPO,PDYM20,11,5G,China Unicom,zhejiangsheng,hangzhoushi,583.7,ca15985e72ddc252a39702642bfc06d3,96,-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44,4,460,1,[],5570560,633984,-44,-3,2147483647,-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44,-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3,40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40
vivo,V2102A,11,5G,China Telecom,shandongsheng,jiningshi,633.3,78d4cbdbbe404d926ff27fcaf83dee8d,96,-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44,4,460,1,[],3217923,627264,-44,-3,2147483647,-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44,-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3,40;40;40;40;40;40;40;40;40;40;40;40;40;40
vivo,V2031EA,10,5G,China Telecom,henansheng,kaifengshi,412.1,da9039aac4513187f6a6a32c11029931,97,87;87;87;80;80;80,0,460,1,['Added in API level 30'],408600,633984,255,255,255,87;87;87;80;80;80,88;88;88;83;83;83,105;105;105;99;99;99
realme,RMX3031,11,5G,China Telecom,zhejiangsheng,jiaxingshi,291.4,bb4fddfccc7b892d36d5572486662942,96,-44,4,460,1,[],5622272,627264,-44,-3,2147483647,-44,-3,40
vivo,V2121A,11,5G,China Telecom,hebeisheng,langfangshi,333.6,57e2d9b3fa6520acf731b295c18bf727,96,-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44,4,460,1,[],239,627264,-44,-3,2147483647,-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44,-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3,40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40
realme,RMX2117,11,5G,China Mobile,shanghaishi,shanghaishi,166.3,4b3b99a82f053225ac54527760060b28,96,-44;-44;-44;-44;-44,4,460,0,[],1448047,504990,-44,-3,2147483647,-44;-44;-44;-44;-44,-3;-3;-3;-3;-3,40;40;40;40;40
