brand,model,os_version,network_type,user_isp_id,user_region_id,user_city_id,bandwidth_Mbps,user_uid,wifi_rssi,wifi_linkSpeed,wifi_hiddenSSID,wifi_frequency,wifi_rxLinkSpeedMbps,wifi_txLinkSpeedMbps,wifi_maxSupportedRxLinkSpeedMbps,wifi_maxSupportedTxLinkSpeedMbps,wifi_wifiStandard
vivo,V1916A,11,WIFI,China Mobile,anhuisheng,hefeishi,296.7,f6cd08fc1d0a39811bbbacf5af21980b,-49;-49;-48;-48;-49;-49;-47;-47;-47;-47;-54,866;866;866;866;866;866;866;866;866;866;866,FALSE,5260,585;585;780;780;780;780;433;433;866;866;866,780;780;780;780;866;866;866;866;866;866;780,866,866,5
OnePlus,LE2100,11,WIFI,China Mobile,sichuansheng,ganzizangzuzizhizhou,307.7,eaef1e52b21eb35767be4f20bc9a2487,-39;-39;-39;-39;-39;-39;-32;-32;-32;-32;-32;-32;-34;-34;-34;-34;-34;-34;-34;-34,866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866,FALSE,5745,866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866,866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866,866,866,5
OPPO,PDNM00,11,WIFI,China Mobile,hubeisheng,huangshishi,286.3,6729b1b076b2425a1e564a98ccbf547c,-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-43;-43;-43;-43;-43;-43;-41;-41;-41,866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866,FALSE,5180,866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866,866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866,866,866,5
vivo,V2072A,11,WIFI,China Mobile,guangdongsheng,shaoguanshi,389.8,6746a7233e3876e397a5133e3e63f911,-55;-55;-55;-53;-53;-53;-53;-54;-54;-53;-53;-54;-54;-57;-57;-54;-54;-54;-54;-54;-54;-54,433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433,FALSE,5765,6;6;6;433;433;433;433;433;433;86;86;433;433;433;433;433;433;433;433;433;433;292,433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433,433,433,5
vivo,V2073A,11,WIFI,China Unicom,beijingshi,beijingshi,87.9,45bcc12be2191c5b693e1f4c35ddf3d2,-42;-42;-42;-39;-39;-39;-39;-38;-38;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-39;-40;-40,433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433,FALSE,5765,433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433,433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433,433,433,5
vivo,V2141A,11,WIFI,China Unicom,liaoningsheng,shenyangshi,177.3,25cf4bfedac90cf1e87b2d67d43b98c3,-46;-46;-46;-45;-45;-43;-43;-43;-43;-43;-43;-44;-44;-42;-42;-41;-41;-44;-44;-41;-41;-39,866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866,FALSE,5745,780;780;780;780;780;866;866;866;866;866;866;702;702;780;780;780;780;780;780;780;780;6,866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866,866,866,5
vivo,V1916A,11,WIFI,China Mobile,anhuisheng,hefeishi,231.9,f6cd08fc1d0a39811bbbacf5af21980b,-52;-52;-52;-49;-49;-49;-49;-49;-49;-48;-48;-48;-48;-45;-45;-48;-48;-48;-48;-50;-50;-50,866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866,FALSE,5260,866;866;866;866;866;866;866;780;780;866;866;780;780;780;780;585;585;702;702;780;780;780,866;866;866;866;866;866;866;866;866;866;866;780;780;780;780;780;780;780;780;780;780;780,866,866,5
OnePlus,GM1900,11,WIFI,China Mobile,xinjiangweiwuerzizhiqu,bayinguolengmengguzizhizhou,82.1,e6ea6b4818ff0e481e88b7cd727f431f,-75;-76;-76;-76;-76;-76;-76;-75;-75;-75;-75;-75;-75;-78;-78;-78;-78;-78;-78;-79;-79;-79,130;130;130;130;130;130;130;130;130;130;130;130;130;195;195;195;195;195;195;65;65;65,FALSE,5785,195;195;195;195;195;195;195;195;195;195;195;195;195;195;195;195;195;195;195;130;130;130,130;130;130;130;130;130;130;130;130;130;130;130;130;195;195;195;195;195;195;65;65;65,866,866,5
OPPO,PEGM00,11,WIFI,China Telecom,jiangsusheng,changzhoushi,95.6,e4667672549be02b0f3dc339dba1547b,-29;-29;-29;-29;-29;-29;-29;-28;-28;-28;-28;-28;-28;-30;-30;-30;-30;-30;-30;-29;-29;-29,433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433,FALSE,5765,433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433,433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433;433,433,433,5
vivo,V2118A,11,WIFI,China Unicom,shandongsheng,binzhoushi,693.8,731d11f6ccd6cb9a537f966d51d5acbd,-28;-28;-28;-30;-30;-30;-30;-30;-30;-29;-29;-29;-29;-30;-30;-29;-29;-29;-29;-29;-31;-31,866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866;866,FALSE,5745,866;866;866;866;866;866;866;702;702;390;390;585;585;585;585;585;585;585;585;585;866;866,866;866;866;866;866;650;650;650;650;650;650;866;866;650;650;650;650;650;650;650;866;866,866,866,5
