brand,model,os_version,network_type,user_isp_id,user_region_id,user_city_id,bandwidth_Mbps,user_uid,wifi_rssi,wifi_linkSpeed,wifi_hiddenSSID,wifi_frequency,wifi_rxLinkSpeedMbps,wifi_txLinkSpeedMbps,wifi_maxSupportedRxLinkSpeedMbps,wifi_maxSupportedTxLinkSpeedMbps,wifi_wifiStandard
vivo,V2162A,11,WIFI,China Telecom,jiangxisheng,nanchangshi,210,1c40d61735403f22fbc0871657a990a9,-64;-64;-64;-64,600;600;600;600,FALSE,5180,6;6;6;6,360;360;360;360,600,600,6
OnePlus,LE2120,12,WIFI,China Telecom,fujiansheng,nanpingshi,669.1,3eaf99ddd4d64f2942500f3e14593210,-15;-15;-15;-15,1200;1200;1200;1200,FALSE,5180,1200;1200;1200;1200,1200;1200;1200;1200,1200,1200,6
Xiaomi,M2012K11AC,12,WIFI,China Mobile,hunansheng,zhangjiajieshi,152.1,9b87a432f53ef9fae251d8ec46d4280f,-24;-24;-25;-25,1200;1200;1200;1200,FALSE,5180,1200;1200;1200;1200,1200;1200;1200;1200,1200,1200,6
vivo,V2047A,11,WIFI,China Telecom,chongqingshi,chongqingshi,266.6,a70df170af51fda54bb6f67030e6b47b,-50;-50;-50;-47,720;720;720;510,FALSE,5765,9;576;576;720,720;720;720;510,1200,1200,6
Xiaomi,M2012K11AC,11,WIFI,China Unicom,shandongsheng,hezeshi,32.3,66d433b5df27066e35c917b8c700bff8,-76;-76;-76;-76,68;68;68;68,FALSE,2462,103;103;103;103,68;68;68;68,573,573,6
Xiaomi,Redmi K30 Pro,11,WIFI,China Unicom,zhejiangsheng,jiaxingshi,110.1,fd7eb2ee6ae336603f78a6d0a2e3d97f,-13;-13;-13;-13,1200;1200;1200;1200,FALSE,5200,1200;1200;1200;1200,1200;1200;1200;1200,1200,1200,6
vivo,V2121A,11,WIFI,China Telecom,yunnansheng,kunmingshi,35.7,2fcaa0895cce17f8015bf7106363e0b3,-13;-13;-13;-13,143;143;143;143,FALSE,2412,114;114;114;114,143;143;143;143,143,143,6
OPPO,PEDM00,12,WIFI,China Unicom,hebeisheng,hengshuishi,779.5,3961801ba23c8501c0bd1e6a7c3c2e0b,-25;-25;-25,1200;1200;1200,FALSE,5180,1200;1200;1200,1200;1200;1200,1200,1200,6
Xiaomi,Redmi K30 Pro,11,WIFI,China Telecom,jiangsusheng,zhenjiangshi,777.6,25525e404068ec4f6a642a6df4a86a2d,-30;-30;-30;-30,1200;1200;1200;1200,FALSE,5745,1200;1200;1200;1200,1200;1200;1200;1200,1200,1200,6
Xiaomi,M2007J1SC,11,WIFI,China Telecom,xinjiangweiwuerzizhiqu,wulumuqishi,207.9,319423976e73778c03a41bb099ea33b0,-3;-3;-3;-3,573;573;573;573,FALSE,2437,573;573;573;573,573;573;573;573,573,573,6
Xiaomi,M2012K11AC,11,WIFI,China Unicom,guangxizhuangzuzizhiqu,nanningshi,163.1,6fb3d8de22175a0fea89a14f06835236,-28;-28;-28;-28;-28,573;573;573;573;573,FALSE,2462,573;573;573;573;573,573;573;573;573;573,573,573,6
OPPO,PDHM00,11,WIFI,China Unicom,jiangsusheng,suzhoushi,805.7,8ebfe0737a0533df0653f411e82a2c2e,-37;-37;-37;-37,1200;1200;1200;1200,FALSE,5200,1200;1200;1200;1200,1200;1200;1200;1200,1200,1200,6
Xiaomi,M2007J3SC,11,WIFI,China Mobile,fujiansheng,xiamenshi,1040.2,7b886c6a62e8261399e6b71747e39064,-34;-34;-34;-34,1200;1200;1200;1200,FALSE,5240,1200;1200;1200;1200,1200;1200;1200;1200,1200,1200,6
Xiaomi,M2012K11AC,11,WIFI,China Unicom,jilinsheng,changchunshi,87.1,1d52228620ab83ea83730986b4725ffb,-26;-26;-26;-26;-26,1200;1200;1200;1200;1200,FALSE,5765,1200;1200;1200;1200;1200,1200;1200;1200;1200;1200,1200,1200,6
vivo,V1981A,11,WIFI,China Telecom,hebeisheng,baodingshi,329,6f70321fad2c7392036155eeba3b2a4b,-53;-53;-51;-51,1200;1200;1200;1200,FALSE,5745,720;720;720;720,576;576;626;626,1200,1200,6
Xiaomi,Mi 10 Pro,11,WIFI,China Telecom,gansusheng,jiuquanshi,528.4,0a18c17091243958e406bde3540d2904,-52;-52;-52;-52,864;864;864;864,FALSE,5220,864;864;864;864,864;864;864;864,1200,1200,6
Xiaomi,M2102K1AC,12,WIFI,China Telecom,shanghaishi,shanghaishi,287.7,b533bbe792a41e8eb6b128e5409de59c,-60;-60;-60;-60,720;720;720;720,FALSE,5805,576;576;576;576,720;720;720;720,1200,1200,6
